Mean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zone,SAL,TEMP,WQ_CAR_PH,WQ_DIAG_CAR_CH4_DSF,WQ_DIAG_EC25,WQ_DIAG_HAB_BMIi_HSI_IND,WQ_DIAG_NCS_FS001,WQ_DIAG_NCS_FS002,WQ_DIAG_NCS_FS003,WQ_DIAG_NCS_FS004,WQ_DIAG_NCS_FS005,WQ_DIAG_NCS_FS1,WQ_DIAG_NCS_SED_d50,WQ_DIAG_NCS_fs001,WQ_DIAG_NCS_fs002,WQ_DIAG_NCS_fs003,WQ_DIAG_NCS_fs004,WQ_DIAG_NCS_fs005,WQ_DIAG_NCS_fs006,WQ_DIAG_NCS_fs007,WQ_DIAG_NIT_AMM_DSF,WQ_DIAG_NIT_N2O_DSF,WQ_DIAG_NIT_NIT_DSF,WQ_DIAG_OGM_DOC_SWI,WQ_DIAG_OXY_OXY_DSF,WQ_DIAG_PHS_FRP_DSF,WQ_DIAG_PHY_MPB_BEN,WQ_DIAG_SDF_FSED_AMM,WQ_DIAG_SDF_FSED_CH4,WQ_DIAG_SDF_FSED_DOC,WQ_DIAG_SDF_FSED_FRP,WQ_DIAG_SDF_FSED_N2O,WQ_DIAG_SDF_FSED_NIT,WQ_DIAG_SDF_FSED_OXY,WQ_DIAG_SDG_AMM05,WQ_DIAG_SDG_AMM10,WQ_DIAG_SDG_ARPD,WQ_DIAG_SDG_AVS,WQ_DIAG_SDG_CRS,WQ_DIAG_SDG_CRS03,WQ_DIAG_SDG_CRS10,WQ_DIAG_SDG_CRS20,WQ_DIAG_SDG_EC15,WQ_DIAG_SDG_FEII05,WQ_DIAG_SDG_FEII10,WQ_DIAG_SDG_H2S05,WQ_DIAG_SDG_H2S10,WQ_DIAG_SDG_MOISTURE,WQ_DIAG_SDG_Moisture,WQ_DIAG_SDG_OM,WQ_DIAG_SDG_OPD,WQ_DIAG_SDG_PASS,WQ_DIAG_SDG_PASS03,WQ_DIAG_SDG_PASS10,WQ_DIAG_SDG_PASS20,WQ_DIAG_SDG_PH15,WQ_DIAG_SDG_PO405,WQ_DIAG_SDG_PO410,WQ_DIAG_SDG_RAP,WQ_DIAG_SDG_TFE,WQ_DIAG_SDG_TFE03,WQ_DIAG_SDG_TFE10,WQ_DIAG_SDG_TFE20,WQ_DIAG_SDG_TIC,WQ_DIAG_SDG_TN,WQ_DIAG_SDG_TN03,WQ_DIAG_SDG_TN10,WQ_DIAG_SDG_TN20,WQ_DIAG_SDG_TOC,WQ_DIAG_SDG_TOC03,WQ_DIAG_SDG_TOC10,WQ_DIAG_SDG_TOC20,WQ_DIAG_SDG_TP,WQ_DIAG_SDG_TP03,WQ_DIAG_SDG_TP10,WQ_DIAG_SDG_TP20,WQ_DIAG_SDG_pH15,WQ_DIAG_TC,WQ_DIAG_TOT_TURBIDITY,WQ_OXY_OXY,WQ_OXY_SAT
Zone,SAL,TEMP,WQ_CAR_PH,WQ_DIAG_CAR_CH4_DSF,WQ_DIAG_EC25,WQ_DIAG_HAB_BMIi_HSI_IND,WQ_DIAG_NCS_FS001,WQ_DIAG_NCS_FS002,WQ_DIAG_NCS_FS003,WQ_DIAG_NCS_FS004,WQ_DIAG_NCS_FS005,WQ_DIAG_NCS_FS1,WQ_DIAG_NCS_SED_d50,WQ_DIAG_NCS_fs001,WQ_DIAG_NCS_fs002,WQ_DIAG_NCS_fs003,WQ_DIAG_NCS_fs004,WQ_DIAG_NCS_fs005,WQ_DIAG_NCS_fs006,WQ_DIAG_NCS_fs007,WQ_DIAG_NIT_AMM_DSF,WQ_DIAG_NIT_N2O_DSF,WQ_DIAG_NIT_NIT_DSF,WQ_DIAG_OGM_DOC_SWI,WQ_DIAG_OXY_OXY_DSF,WQ_DIAG_PHS_FRP_DSF,WQ_DIAG_PHY_MPB_BEN,WQ_DIAG_SDF_FSED_AMM,WQ_DIAG_SDF_FSED_CH4,WQ_DIAG_SDF_FSED_DOC,WQ_DIAG_SDF_FSED_FRP,WQ_DIAG_SDF_FSED_N2O,WQ_DIAG_SDF_FSED_NIT,WQ_DIAG_SDF_FSED_OXY,WQ_DIAG_SDG_AMM05,WQ_DIAG_SDG_AMM10,WQ_DIAG_SDG_ARPD,WQ_DIAG_SDG_AVS,WQ_DIAG_SDG_CRS,WQ_DIAG_SDG_CRS03,WQ_DIAG_SDG_CRS10,WQ_DIAG_SDG_CRS20,WQ_DIAG_SDG_EC15,WQ_DIAG_SDG_FEII05,WQ_DIAG_SDG_FEII10,WQ_DIAG_SDG_H2S05,WQ_DIAG_SDG_H2S10,WQ_DIAG_SDG_MOISTURE,WQ_DIAG_SDG_Moisture,WQ_DIAG_SDG_OM,WQ_DIAG_SDG_OPD,WQ_DIAG_SDG_PASS,WQ_DIAG_SDG_PASS03,WQ_DIAG_SDG_PASS10,WQ_DIAG_SDG_PASS20,WQ_DIAG_SDG_PH15,WQ_DIAG_SDG_PO405,WQ_DIAG_SDG_PO410,WQ_DIAG_SDG_RAP,WQ_DIAG_SDG_TFE,WQ_DIAG_SDG_TFE03,WQ_DIAG_SDG_TFE10,WQ_DIAG_SDG_TFE20,WQ_DIAG_SDG_TIC,WQ_DIAG_SDG_TN,WQ_DIAG_SDG_TN03,WQ_DIAG_SDG_TN10,WQ_DIAG_SDG_TN20,WQ_DIAG_SDG_TOC,WQ_DIAG_SDG_TOC03,WQ_DIAG_SDG_TOC10,WQ_DIAG_SDG_TOC20,WQ_DIAG_SDG_TP,WQ_DIAG_SDG_TP03,WQ_DIAG_SDG_TP10,WQ_DIAG_SDG_TP20,WQ_DIAG_SDG_pH15,WQ_DIAG_TC,WQ_DIAG_TOT_TURBIDITY,WQ_OXY_OXY,WQ_OXY_SAT
11,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
12,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
13,126.6667,    ,7.9333,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.0003,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,2.1782,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,3.2257,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,242.8125,97.1
21,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
22,106.21,19.9,8.09,    ,136700,    ,0.0002,0.0095,0.0095,0.0024,0.0009,0.0079,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,-71.5633,    ,    ,10,0.0467,0.2628,    ,    ,    ,108.8,78.1571,80.6578,    ,    ,0.806,    ,    ,    ,163.8875,    ,    ,    ,9.2,    ,    ,14,7115.773,    ,    ,    ,7.1034,1,    ,    ,    ,7.98,    ,    ,    ,688,    ,    ,    ,    ,10.1,9.5,0.169,106.5
23,103.88,22.5,10.96,    ,134280,24483.9174,0.0013,0.0092,0.0092,0.0002,0.0001,0.0007,0.0003,0.0839,0.2339,0.1946,0.281,0.159,0.046,0.0015,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,10,0.0029,0.0556,    ,    ,    ,21.652,    ,    ,    ,    ,0.2878,23.9157,0.7875,0.2,34.7043,    ,    ,    ,9.27,    ,    ,15,1312.0319,    ,    ,    ,8.3601,0.12,    ,    ,    ,18.8833,    ,    ,    ,10616518.95,    ,    ,    ,9.19,8.62,8,0.4848,190
31,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
32,106.34,20.9,8.2,    ,136732,    ,0,0.006,0.0064,0.0007,0.0004,0.0082,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1.5,0.0701,0.2931,    ,    ,    ,100.3,    ,    ,    ,    ,0.8008,    ,    ,    ,182.8224,    ,    ,    ,8.6,    ,    ,12,10094.4671,    ,    ,    ,5.1934,0.72,    ,    ,    ,5.5457,    ,    ,    ,522,    ,    ,    ,    ,8.16,13.9,0.1843,120.4
33,94.3333,    ,8.2267,    ,    ,1440.2304,0,0.0094,0.0094,0.0003,0.0002,0.001,0.0005,0.0616,0.0653,0.099,0.2868,0.4016,0.0829,0.0029,    ,    ,    ,    ,    ,    ,3.6111,    ,    ,    ,    ,    ,    ,19.4244,51.4906,325.1115,4,0.0222,0.0391,0.0302,0.0359,0.0311,14.2958,102.4577,113.3856,    ,    ,0.2772,20.354,2.2169,0.2,24.3703,18.837,22.4183,19.3952,9.65,-5.4535,4.5906,2,1796.764,720.2898,488.5381,484.033,3.1805,0.14,0.11,0.043,0.055,17.2267,0.83,0.27,0.296,9268025.427,105,30,38,9.15,3.53,    ,265.9375,115.6
41,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.1,    ,    ,0.0956,    ,    ,21.8221,    ,    ,    ,    ,    ,    ,    ,    ,    ,59.599,    ,    ,9.06,    ,    ,0,    ,2778.0063,    ,    ,    ,    ,0.221,    ,    ,    ,1.81,    ,    ,    ,266,    ,    ,    ,    ,    ,    ,    
42,107.78,23,8.2,0.1272,138128,    ,0,0.0003,0.0006,0.0016,0.0015,0.0092,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.0005,    ,117.7191,    ,    ,    ,    ,1.4016,976.926,    ,0.0189,    ,-44.1082,    ,    ,0.1,0.0645,0.2945,    ,    ,    ,100.8788,5.7081,4.2574,63.8413,68.9724,0.8076,    ,    ,    ,183.7002,    ,    ,    ,8.66,    ,    ,5,11954.1904,    ,    ,    ,4.6515,1.31,    ,    ,    ,5.941,    ,    ,    ,685,    ,    ,    ,    ,7.23,19.5,0.239,163
43,108.3333,    ,8.0467,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.0003,0.0059,0.0532,0.1181,0.2338,0.5452,0.0417,0.0021,    ,    ,    ,    ,    ,    ,1.0718,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.1,    ,    ,    ,    ,    ,38.189,    ,    ,    ,    ,    ,21.3645,10.5289,    ,    ,    ,    ,    ,    ,    ,    ,4,    ,    ,    ,    ,    ,0.32,    ,    ,    ,4.2,    ,    ,    ,302,    ,    ,    ,8.94,    ,    ,292.2917,138.8667
51,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
52,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,19.467,    ,    ,    ,    ,    ,    ,    ,    ,19.467,28.7575,39.0952,    ,    ,    ,0.1639,0.1819,0.3915,59.77,78.0676,45.7108,7.1385,116.3814,    ,    ,    ,    ,    ,102.2275,113.4546,244.1665,9.33,3.1707,6.8412,    ,    ,1334.8365,1282.0742,1714.0694,    ,6.61,0.139,0.105,0.323,1.16,1.44,1.23,3.11,0.0198,228,154,184,    ,    ,    ,    ,    
53,103,28,7.34,    ,132350,14282.2852,0,0.0083,0.0084,0.0007,0.0003,0.0039,0.0002,0.0327,0.0878,0.1101,0.263,0.6463,0.0902,0.0309,7.0991,    ,1.1226,    ,-106.1124,0.988,    ,7.0991,    ,    ,0.988,    ,1.1226,-106.1124,    ,    ,0.1,0.0794,0.2399,    ,    ,    ,40.7819,    ,    ,    ,    ,0.5842,40.9894,11.725,0.5,149.645,    ,    ,    ,8.86,    ,    ,2,9629.4929,    ,    ,    ,2.1968,0.38,    ,    ,    ,9.4433,    ,    ,    ,12664303.3,    ,    ,    ,9.3,4.83,27,0.2208,156
61,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.1,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,4,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
62,68.8,20.8,8.38,    ,95449,    ,0,0.0005,0.0004,0.0012,0.0013,0.0083,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.5,0.0776,0.6438,    ,    ,    ,72.656,    ,    ,    ,    ,0.7738,    ,    ,    ,401.527,    ,    ,    ,8.25,    ,    ,8,23654.3741,    ,    ,    ,0.4073,0.68,    ,    ,    ,5.5527,    ,    ,    ,528,    ,    ,    ,    ,5.96,8.1,0.1866,97.8
63,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
71,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
72,60.1,20.6,8.65,    ,85161,    ,0.0001,0.0082,0.0083,0.0002,0,0.0016,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.1,0.0505,0.1719,    ,    ,    ,17.049,    ,    ,    ,    ,0.4234,    ,    ,    ,107.2064,    ,    ,    ,8.53,    ,    ,6,7424.8465,    ,    ,    ,0.207,0.17,    ,    ,    ,1.263,    ,    ,    ,166,    ,    ,    ,    ,1.47,12.6,0.1933,95.6
73,59.23,20.4,7.88,    ,84028,131781.085,0.0001,0.0097,0.0097,0.0002,0.0002,0.0005,0.0004,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,6.0688,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.0095,0.022,    ,    ,    ,7.5263,    ,    ,    ,    ,0.2521,    ,1.2996,3,13.7308,    ,    ,    ,9.14,    ,    ,9,1363.6401,    ,    ,    ,0.1942,0.05,    ,    ,    ,0.6233,    ,    ,    ,2583712.309,    ,    ,    ,    ,0.54,17.8,322.9167,157.7667
81,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
82,39.76,20.5,8.49,    ,59222,    ,0,0.005,0.0049,0,0.0001,0.005,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,10,0.0472,0.6543,    ,    ,    ,20.8483,    ,    ,    ,    ,0.6482,    ,    ,    ,408.0874,    ,    ,    ,8.37,    ,    ,13,17993.8111,    ,    ,    ,1.1465,0.24,    ,    ,    ,1.6735,    ,    ,    ,281,    ,    ,    ,    ,2.82,7.5,0.2227,97.6
83,    ,    ,    ,    ,    ,692390.7825,    ,    ,    ,    ,    ,    ,0.0003,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,3,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.05,    ,    ,    ,0.9433,    ,    ,    ,4634031.823,    ,    ,    ,    ,    ,    ,    ,    
91,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
92,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,3,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,11,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
93,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.0016,0.0309,0.5613,0.3684,0.0355,0.0021,0.0002,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,1.141,    ,    ,    ,    ,    ,15.9533,0.07,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.02,    ,    ,    ,0.04,    ,    ,    ,65,    ,    ,    ,9.37,    ,    ,    ,    
101,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
102,31.5,19.9,8.3,    ,48280,    ,0.0001,0.0089,0.0089,0.0001,0.0001,0.0011,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,5,0.0372,0.139,    ,    ,    ,7.9506,    ,    ,    ,    ,0.423,    ,    ,    ,86.6866,    ,    ,    ,8.58,    ,    ,12,6606.7711,    ,    ,    ,0.4215,0.13,    ,    ,    ,1.0885,    ,    ,    ,215,    ,    ,    ,    ,1.51,2,0.2077,85.9
103,19.3333,    ,8.3833,    ,    ,1022443.591,    ,    ,    ,    ,    ,    ,0.0002,0.1365,0.2747,0.1532,0.1212,0.1939,0.086,0.0345,    ,    ,    ,    ,    ,    ,7.5324,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,13.183,    ,    ,    ,    ,    ,47.9608,2.8175,5,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,0.17,    ,    ,    ,6.22,    ,    ,    ,18864144.95,    ,    ,    ,8.3,    ,    ,352.0833,153.8667
104,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    ,    
